"restriction","lower","estimate","upper","cutoff_date"
"Beschränkung Einzelhandel",-0.0457511523505442,0.0575842873751926,0.160919727100929,2020-03-19
"Beschränkung Restaurants",-0.158469651024895,-0.0286501752271575,0.10116930057058,2020-03-19
"Grenzschließung",-0.104608041677811,-0.0150510545995173,0.0745059324787766,2020-03-19
"Isolation von Kranken / Gefährdeten",-0.0604735703687663,0.0233278652942132,0.107129300957193,2020-03-19
"Schließung Bildungseinrichtungen / Kitas",-0.0905888460890149,0.0249157687273542,0.140420383543723,2020-03-19
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.313817464827387,-0.203310531232447,-0.0928035976375062,2020-03-19
"Veranstaltungs-/Versammlungsverbot",-0.134643165697329,-0.0733445858440716,-0.0120460059908137,2020-03-19
"Beschränkung Einzelhandel",-0.0348562039570688,0.0491409633184885,0.133138130594046,2020-03-20
"Beschränkung Restaurants",-0.0943651857004395,0.000982563488846252,0.096330312678132,2020-03-20
"Grenzschließung",-0.0792069639569696,-0.00531374859470307,0.0685794667675635,2020-03-20
"Isolation von Kranken / Gefährdeten",-0.0519998285719273,0.0230426266072712,0.0980850817864697,2020-03-20
"Schließung Bildungseinrichtungen / Kitas",-0.0786784422098602,0.0240677732062483,0.126813988622357,2020-03-20
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.284802143625031,-0.17904503013557,-0.073287916646109,2020-03-20
"Veranstaltungs-/Versammlungsverbot",-0.139558397631468,-0.0809048874686142,-0.0222513773057606,2020-03-20
"Ausgangsbeschränkung",,,,2020-03-21
"Beschränkung Einzelhandel",-0.0424986170192573,0.0289673463488957,0.100433309717049,2020-03-21
"Beschränkung Restaurants",-0.0752435047802339,0.000583338474440274,0.0764101817291145,2020-03-21
"Grenzschließung",-0.0698920090948814,-0.00615175753248468,0.0575884940299121,2020-03-21
"Isolation von Kranken / Gefährdeten",-0.0530550466414176,0.0157138490465203,0.0844827447344581,2020-03-21
"Schließung Bildungseinrichtungen / Kitas",-0.0684952338945069,0.0239932776965505,0.116481789287608,2020-03-21
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.251540130236019,-0.150809985619072,-0.0500798410021248,2020-03-21
"Veranstaltungs-/Versammlungsverbot",-0.138155517715756,-0.0810789740513156,-0.0240024303868756,2020-03-21
"Ausgangsbeschränkung",-0.184975753666393,0.00369460609167703,0.192364965849747,2020-03-22
"Beschränkung Einzelhandel",-0.0514010745184881,0.010961642848145,0.073324360214778,2020-03-22
"Beschränkung Restaurants",-0.0729959501240182,-0.00835927454616543,0.0562774010316873,2020-03-22
"Grenzschließung",-0.0768085901892915,-0.0194090073627756,0.0379905754637403,2020-03-22
"Isolation von Kranken / Gefährdeten",-0.0533895833797449,0.00994275680688274,0.0732750969935104,2020-03-22
"Schließung Bildungseinrichtungen / Kitas",-0.0718565219905491,0.0110193480667804,0.0938952181241098,2020-03-22
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.208129646034333,-0.114187815540656,-0.0202459850469792,2020-03-22
"Veranstaltungs-/Versammlungsverbot",-0.134199496734694,-0.078710474686509,-0.0232214526383243,2020-03-22
"Ausgangsbeschränkung",-0.156996560966729,-0.0491309647966842,0.0587346313733601,2020-03-23
"Beschränkung Einzelhandel",-0.0541274903193427,0.000795347502910289,0.0557181853251632,2020-03-23
"Beschränkung Restaurants",-0.0638654808082575,-0.00792166895444449,0.0480221428993685,2020-03-23
"Grenzschließung",-0.0778061284252611,-0.0271463709107511,0.0235133866037589,2020-03-23
"Isolation von Kranken / Gefährdeten",-0.0464559713489383,0.0112263877391766,0.0689087468272916,2020-03-23
"Schließung Bildungseinrichtungen / Kitas",-0.0771403242426017,-0.00277421531288661,0.0715918936168285,2020-03-23
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.17203955212571,-0.0855321983266942,0.000975155472321326,2020-03-23
"Veranstaltungs-/Versammlungsverbot",-0.131480278634837,-0.0779781785546062,-0.0244760784743749,2020-03-23
"Ausgangsbeschränkung",-0.135439815363092,-0.0592780023826558,0.0168838105977809,2020-03-24
"Beschränkung Einzelhandel",-0.0524197714386294,-0.00305756998130276,0.0463046314760238,2020-03-24
"Beschränkung Restaurants",-0.0659030082339853,-0.0164235355360758,0.0330559371618338,2020-03-24
"Grenzschließung",-0.0732006982376925,-0.027679016909215,0.0178426644192625,2020-03-24
"Isolation von Kranken / Gefährdeten",-0.0462835999855422,0.00681770776049593,0.059919015506534,2020-03-24
"Schließung Bildungseinrichtungen / Kitas",-0.0761848467135204,-0.0086740704827228,0.0588367057480748,2020-03-24
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.144023590008117,-0.0635056862768507,0.0170122174544154,2020-03-24
"Veranstaltungs-/Versammlungsverbot",-0.125324441321212,-0.0740287847390169,-0.0227331281568216,2020-03-24
"Ausgangsbeschränkung",-0.125518238143783,-0.0657038469392757,-0.00588945573476885,2020-03-25
"Beschränkung Einzelhandel",-0.0503997401532705,-0.00557241178978814,0.0392549165736942,2020-03-25
"Beschränkung Restaurants",-0.0693935079541091,-0.0251121157464631,0.019169276461183,2020-03-25
"Grenzschließung",-0.0703161703107407,-0.0291366482915376,0.0120428737276655,2020-03-25
"Isolation von Kranken / Gefährdeten",-0.0492390865847939,-0.00026148776519975,0.0487161110543944,2020-03-25
"Schließung Bildungseinrichtungen / Kitas",-0.0766348723018911,-0.0146741625982255,0.0472865471054401,2020-03-25
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.118881118131037,-0.0441939523991443,0.0304932133327478,2020-03-25
"Veranstaltungs-/Versammlungsverbot",-0.11464293869201,-0.0664511592189721,-0.0182593797459339,2020-03-25
"Ausgangsbeschränkung",-0.123252278187184,-0.0730479447044207,-0.0228436112216574,2020-03-26
"Beschränkung Einzelhandel",-0.0520025937159865,-0.0108497468864731,0.0303030999430403,2020-03-26
"Beschränkung Restaurants",-0.0731642857014631,-0.032912165342199,0.00733995501706512,2020-03-26
"Grenzschließung",-0.0697267953602354,-0.0321272410314917,0.00547231329725204,2020-03-26
"Isolation von Kranken / Gefährdeten",-0.0515781548086997,-0.00599548698778064,0.0395871808331385,2020-03-26
"Schließung Bildungseinrichtungen / Kitas",-0.0748521389087502,-0.0175920408762494,0.0396680571562514,2020-03-26
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0990377430356432,-0.0303304873316773,0.0383767683722886,2020-03-26
"Veranstaltungs-/Versammlungsverbot",-0.101626097583832,-0.0571966123834883,-0.0127671271831449,2020-03-26
"Ausgangsbeschränkung",-0.138935681569287,-0.0970636269338084,-0.0551915722983296,2020-03-27
"Beschränkung Einzelhandel",-0.038114784816488,-0.00201555692945843,0.0340836709575711,2020-03-27
"Beschränkung Restaurants",-0.0658715968779939,-0.0302326256502283,0.00540634557753722,2020-03-27
"Grenzschließung",-0.0325396835387532,-0.0110412584128537,0.0104571667130457,2020-03-27
"Isolation von Kranken / Gefährdeten",-0.0460799630119367,-0.00447065036622011,0.0371386622794964,2020-03-27
"Schließung Bildungseinrichtungen / Kitas",-0.0786783419197356,-0.0274259567147929,0.0238264284901497,2020-03-27
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0942914135431029,-0.0318043012534666,0.0306828110361698,2020-03-27
"Veranstaltungs-/Versammlungsverbot",-0.0913792314058752,-0.0510203560429825,-0.0106614806800898,2020-03-27
"Ausgangsbeschränkung",-0.146786717952615,-0.108720376682698,-0.0706540354127802,2020-03-28
"Beschränkung Einzelhandel",-0.0370670031269141,-0.00379645851252363,0.0294740861018669,2020-03-28
"Beschränkung Restaurants",-0.067624638735091,-0.0345349184450779,-0.00144519815506484,2020-03-28
"Grenzschließung",-0.0275614315876676,-0.00915701557711002,0.00924740043344758,2020-03-28
"Isolation von Kranken / Gefährdeten",-0.0495339037527209,-0.0111018072227175,0.0273302893072858,2020-03-28
"Schließung Bildungseinrichtungen / Kitas",-0.0706658708366182,-0.0245510270505513,0.0215638167355157,2020-03-28
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0815446710556758,-0.0244606740786816,0.0326233228983125,2020-03-28
"Veranstaltungs-/Versammlungsverbot",-0.0801310358027838,-0.0436094540882772,-0.00708787237377054,2020-03-28
"Ausgangsbeschränkung",-0.155911617846684,-0.121259105312061,-0.0866065927774389,2020-03-29
"Beschränkung Einzelhandel",-0.0383264287599321,-0.00764891789279846,0.0230285929743352,2020-03-29
"Beschränkung Restaurants",-0.0687030852194574,-0.0376023260287701,-0.00650156683808289,2020-03-29
"Grenzschließung",-0.0248414011790179,-0.00787998303602375,0.00908143510697044,2020-03-29
"Isolation von Kranken / Gefährdeten",-0.0537067009062778,-0.018369716676293,0.0169672675536918,2020-03-29
"Schließung Bildungseinrichtungen / Kitas",-0.0590200382780737,-0.0177099348936622,0.0236001684907493,2020-03-29
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0672696988813314,-0.0155240199628565,0.0362216589556183,2020-03-29
"Veranstaltungs-/Versammlungsverbot",-0.0739803996041545,-0.0408721850447797,-0.00776397048540504,2020-03-29
"Ausgangsbeschränkung",-0.165136192126434,-0.133744373922637,-0.102352555718841,2020-03-30
"Beschränkung Einzelhandel",-0.0400883986219089,-0.0116903251030896,0.0167077484157296,2020-03-30
"Beschränkung Restaurants",-0.0697874330896324,-0.040250504012711,-0.0107135749357896,2020-03-30
"Grenzschließung",-0.0247178754247439,-0.00862008884180126,0.00747769774114137,2020-03-30
"Isolation von Kranken / Gefährdeten",-0.0566813520761589,-0.0239847916155871,0.00871176884498469,2020-03-30
"Schließung Bildungseinrichtungen / Kitas",-0.0503766058430371,-0.0129123222295677,0.0245519613839017,2020-03-30
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0525430838296699,-0.00588163742872828,0.0407798089722133,2020-03-30
"Veranstaltungs-/Versammlungsverbot",-0.067706031912664,-0.0377086654408835,-0.00771129896910308,2020-03-30
"Ausgangsbeschränkung",-0.175493690111985,-0.14730102029057,-0.119108350469156,2020-03-31
"Beschränkung Einzelhandel",-0.0406611680099633,-0.0141842585588321,0.0122926508922992,2020-03-31
"Beschränkung Restaurants",-0.0692074922151123,-0.0409665032383913,-0.0127255142616702,2020-03-31
"Grenzschließung",-0.0255276508951997,-0.0100564936469234,0.00541466360135299,2020-03-31
"Isolation von Kranken / Gefährdeten",-0.0594108687537491,-0.0284971742937828,0.00241652016618363,2020-03-31
"Schließung Bildungseinrichtungen / Kitas",-0.0429320839537083,-0.00820623889061017,0.026519606172488,2020-03-31
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0404563163692733,0.001844841429999,0.0441459992292713,2020-03-31
"Veranstaltungs-/Versammlungsverbot",-0.0618478937470773,-0.0345005969967611,-0.00715330024644487,2020-03-31
"Ausgangsbeschränkung",-0.18654519042412,-0.161465221619036,-0.136385252813952,2020-04-01
"Beschränkung Einzelhandel",-0.0390863641331446,-0.0138174688583165,0.0114514264165116,2020-04-01
"Beschränkung Restaurants",-0.0663971752515232,-0.0390679870034425,-0.0117387987553618,2020-04-01
"Grenzschließung",-0.0268979958803723,-0.0119166285453232,0.003064738789726,2020-04-01
"Isolation von Kranken / Gefährdeten",-0.0614430202336109,-0.0318703092859132,-0.00229759833821551,2020-04-01
"Schließung Bildungseinrichtungen / Kitas",-0.0352968831581973,-0.00231235629927627,0.0306721705596447,2020-04-01
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.034547810098751,0.00483388172214762,0.0442155735430463,2020-04-01
"Veranstaltungs-/Versammlungsverbot",-0.0562745793587074,-0.0309748617223304,-0.00567514408595352,2020-04-01
"Ausgangsbeschränkung",-0.196098857518986,-0.173903495857162,-0.151708134195338,2020-04-02
"Beschränkung Einzelhandel",-0.0362690612091189,-0.0118605544111027,0.0125479523869135,2020-04-02
"Beschränkung Restaurants",-0.0623145683069661,-0.0357522400891636,-0.00918991187136098,2020-04-02
"Grenzschließung",-0.0285517428584917,-0.0139980680643754,0.000555606729740843,2020-04-02
"Isolation von Kranken / Gefährdeten",-0.0635799204214132,-0.0351519853708678,-0.00672405032032245,2020-04-02
"Schließung Bildungseinrichtungen / Kitas",-0.0286656003223642,0.00309412649170761,0.0348538533057794,2020-04-02
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0313111417357417,0.00586952441771059,0.0430501905711629,2020-04-02
"Veranstaltungs-/Versammlungsverbot",-0.0510167486799518,-0.0274234414186361,-0.00383013415732035,2020-04-02
"Ausgangsbeschränkung",-0.204984511030386,-0.185287815376592,-0.165591119722797,2020-04-03
"Beschränkung Einzelhandel",-0.0332758880308883,-0.00950129502980979,0.0142732979712687,2020-04-03
"Beschränkung Restaurants",-0.0574513441323164,-0.0315683229970226,-0.00568530186172876,2020-04-03
"Grenzschließung",-0.0303600262382339,-0.0161771425214602,-0.00199425880468663,2020-04-03
"Isolation von Kranken / Gefährdeten",-0.0653678520234941,-0.0379578511297904,-0.0105478502360868,2020-04-03
"Schließung Bildungseinrichtungen / Kitas",-0.0228413858575088,0.00802749630331158,0.0388963784641319,2020-04-03
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0290967876221115,0.00641186406547229,0.0419205157530561,2020-04-03
"Veranstaltungs-/Versammlungsverbot",-0.0467483618195871,-0.0244512731328773,-0.00215418444616759,2020-04-03
"Ausgangsbeschränkung",-0.213136917799401,-0.195457955797248,-0.177778993795094,2020-04-04
"Beschränkung Einzelhandel",-0.0305834740242595,-0.00732380721882634,0.0159358595866068,2020-04-04
"Beschränkung Restaurants",-0.0533813961360332,-0.0281342797006148,-0.00288716326519644,2020-04-04
"Grenzschließung",-0.0319213277322047,-0.0180516703360688,-0.00418201293993285,2020-04-04
"Isolation von Kranken / Gefährdeten",-0.0664792471300487,-0.0398594277248453,-0.0132396083196418,2020-04-04
"Schließung Bildungseinrichtungen / Kitas",-0.0175831989252909,0.0126350651895814,0.0428533293044537,2020-04-04
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0264557659759468,0.00774373888688198,0.0419432437497108,2020-04-04
"Veranstaltungs-/Versammlungsverbot",-0.0441662903221969,-0.0228545708757307,-0.00154285142926458,2020-04-04
"Ausgangsbeschränkung",-0.225355752826208,-0.208536833493167,-0.191717914160126,2020-04-05
"Beschränkung Einzelhandel",-0.0264709430247456,-0.00328168182822692,0.0199075793682917,2020-04-05
"Beschränkung Restaurants",-0.0476300691175594,-0.022526732889946,0.00257660333766741,2020-04-05
"Grenzschließung",-0.0337652256298785,-0.0198926910276582,-0.00602015642543801,2020-04-05
"Isolation von Kranken / Gefährdeten",-0.0670742322094771,-0.0406971897077328,-0.0143201472059885,2020-04-05
"Schließung Bildungseinrichtungen / Kitas",-0.0123407957388481,0.0178702297096308,0.0480812551581097,2020-04-05
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.0254794591285671,0.00814762760104745,0.0417747143306621,2020-04-05
"Veranstaltungs-/Versammlungsverbot",-0.0406743300718551,-0.0198236569321094,0.00102701620763622,2020-04-05
"Ausgangsbeschränkung",-0.239442512029119,-0.222743015690944,-0.206043519352769,2020-04-06
"Beschränkung Einzelhandel",-0.0215187679200841,0.00207830996088538,0.0256753878418549,2020-04-06
"Beschränkung Restaurants",-0.0410620056806189,-0.015584914174948,0.00989217733072289,2020-04-06
"Grenzschließung",-0.0360422861522504,-0.0218461799063797,-0.00765007366050893,2020-04-06
"Isolation von Kranken / Gefährdeten",-0.0677112899486304,-0.0410129808712799,-0.0143146717939294,2020-04-06
"Schließung Bildungseinrichtungen / Kitas",-0.00705911944187806,0.0238203091779912,0.0546997377978604,2020-04-06
"Social Distancing (Kneipen, Abendprogramme, Kultur, Sport)",-0.026028016862611,0.00777649976584722,0.0415810163943054,2020-04-06
"Veranstaltungs-/Versammlungsverbot",-0.0363607024413629,-0.0154551556017634,0.00545039123783614,2020-04-06
